time_period,location,rainfall,mean_temperature,population,spray_coverage,disease_cases
2020-01,Bokeo,4.9,24.17,190000,0.0,397
2020-02,Bokeo,2.5,26.21,190380,0.0,479
2020-03,Bokeo,8.2,28.49,190761,0.0,306
2020-04,Bokeo,20.7,28.64,191142,0.0,597
2020-05,Bokeo,67.1,27.6,191525,0.0,483
2020-06,Bokeo,70.9,28.24,191908,0.0,520
2020-07,Bokeo,56.7,26.71,192291,0.0,564
2020-08,Bokeo,35.2,24.41,192676,0.0,530
2020-09,Bokeo,37.6,22.16,193061,0.0,273
2020-10,Bokeo,22.9,21.97,193447,0.0,381
2020-11,Bokeo,13.9,22.6,193834,0.0,318
2020-12,Bokeo,2.9,24.09,194222,0.0,376
2021-01,Bokeo,0.5,23.67,194610,0.0,345
2021-02,Bokeo,6.8,26.84,195000,0.0,437
2021-03,Bokeo,12.4,27.55,195390,0.0,275
2021-04,Bokeo,52.7,27.8,195780,0.0,321
2021-05,Bokeo,62.9,29.28,196172,0.0,610
2021-06,Bokeo,46.1,28.34,196564,0.0,437
2021-07,Bokeo,51.2,25.46,196958,0.0,430
2021-08,Bokeo,192.3,24.74,197351,0.0,537
2021-09,Bokeo,39.6,23.53,197746,0.0,311
2021-10,Bokeo,37.8,22.33,198142,0.0,490
2021-11,Bokeo,5.3,23.05,198538,0.0,388
2021-12,Bokeo,1.5,22.19,198935,0.0,263
2022-01,Bokeo,2.3,25.44,199333,0.375,384
2022-02,Bokeo,1.2,27.36,199732,0.75,351
2022-03,Bokeo,2.3,29.05,200131,0.75,203
2022-04,Bokeo,13.6,29.12,200531,0.75,233
2022-05,Bokeo,43.8,28.78,200932,0.75,289
2022-06,Bokeo,221.2,28.13,201334,0.75,214
2022-07,Bokeo,62.8,25.85,201737,0.0,284
2022-08,Bokeo,65.3,23.89,202140,0.0,648
2022-09,Bokeo,47.1,23.51,202545,0.0,282
2022-10,Bokeo,32.2,21.03,202950,0.0,183
2022-11,Bokeo,18.2,22.59,203356,0.0,251
2022-12,Bokeo,5.7,23.27,203762,0.0,329
2023-01,Bokeo,1.4,23.87,204170,0.0,262
2023-02,Bokeo,3.9,26.45,204578,0.0,469
2023-03,Bokeo,23.1,27.73,204987,0.0,390
2023-04,Bokeo,31.9,28.93,205397,0.0,417
2023-05,Bokeo,54.7,29.41,205808,0.0,526
2023-06,Bokeo,81.3,29.22,206220,0.0,457
2023-07,Bokeo,95.6,25.29,206632,0.0,539
2023-08,Bokeo,25.7,25.35,207045,0.0,395
2023-09,Bokeo,26.6,22.72,207460,0.0,612
2023-10,Bokeo,12.3,22.27,207874,0.0,302
2023-11,Bokeo,2.5,22.19,208290,0.0,317
2023-12,Bokeo,11.6,24.13,208707,0.0,285
2020-01,Luangprabang,2.3,22.69,430000,0.0,483
2020-02,Luangprabang,1.4,24.09,430860,0.0,508
2020-03,Luangprabang,11.0,26.01,431722,0.0,546
2020-04,Luangprabang,31.0,26.24,432585,0.0,714
2020-05,Luangprabang,64.0,25.78,433450,0.0,675
2020-06,Luangprabang,22.5,25.43,434317,0.0,409
2020-07,Luangprabang,71.8,24.69,435186,0.0,817
2020-08,Luangprabang,50.5,22.28,436056,0.0,507
2020-09,Luangprabang,28.3,19.9,436928,0.0,459
2020-10,Luangprabang,25.0,21.23,437802,0.0,538
2020-11,Luangprabang,9.1,19.92,438678,0.0,516
2020-12,Luangprabang,1.4,20.89,439555,0.0,512
2021-01,Luangprabang,0.5,21.98,440434,0.0,473
2021-02,Luangprabang,1.4,25.9,441315,0.0,417
2021-03,Luangprabang,11.4,24.89,442198,0.0,703
2021-04,Luangprabang,20.4,26.83,443082,0.0,823
2021-05,Luangprabang,16.1,27.43,443968,0.0,624
2021-06,Luangprabang,67.5,25.12,444856,0.0,610
2021-07,Luangprabang,83.0,25.14,445746,0.0,513
2021-08,Luangprabang,79.3,23.09,446637,0.0,611
2021-09,Luangprabang,27.9,21.36,447531,0.0,506
2021-10,Luangprabang,22.1,20.43,448426,0.3,765
2021-11,Luangprabang,8.1,19.21,449323,0.6,674
2021-12,Luangprabang,4.1,21.16,450221,0.6,262
2022-01,Luangprabang,3.0,22.64,451122,0.6,300
2022-02,Luangprabang,1.4,24.46,452024,0.6,270
2022-03,Luangprabang,8.6,25.58,452928,0.6,408
2022-04,Luangprabang,42.2,27.27,453834,0.0,421
2022-05,Luangprabang,57.2,25.62,454742,0.0,489
2022-06,Luangprabang,40.1,26.01,455651,0.0,512
2022-07,Luangprabang,71.0,25.04,456562,0.0,478
2022-08,Luangprabang,50.6,22.04,457475,0.0,539
2022-09,Luangprabang,34.2,20.92,458390,0.0,469
2022-10,Luangprabang,37.0,21.17,459307,0.0,502
2022-11,Luangprabang,5.6,20.38,460226,0.0,594
2022-12,Luangprabang,4.1,21.68,461146,0.0,431
2023-01,Luangprabang,3.3,22.73,462069,0.0,321
2023-02,Luangprabang,2.1,24.47,462993,0.0,554
2023-03,Luangprabang,4.3,25.06,463919,0.0,546
2023-04,Luangprabang,22.3,26.3,464847,0.0,915
2023-05,Luangprabang,17.6,26.97,465776,0.0,736
2023-06,Luangprabang,64.6,26.06,466708,0.0,596
2023-07,Luangprabang,85.2,26.01,467641,0.0,484
2023-08,Luangprabang,57.5,23.04,468576,0.0,754
2023-09,Luangprabang,81.6,21.1,469514,0.0,554
2023-10,Luangprabang,26.9,21.04,470453,0.0,433
2023-11,Luangprabang,3.2,20.32,471394,0.0,624
2023-12,Luangprabang,5.2,20.24,472336,0.0,389
2020-01,Vientiane,1.5,25.48,950000,0.0,1329
2020-02,Vientiane,2.7,26.31,951900,0.0,1839
2020-03,Vientiane,2.2,28.4,953804,0.0,1537
2020-04,Vientiane,13.2,28.52,955711,0.0,2120
2020-05,Vientiane,57.0,29.68,957623,0.0,1620
2020-06,Vientiane,53.4,27.96,959538,0.0,2565
2020-07,Vientiane,123.5,27.43,961457,0.0,2745
2020-08,Vientiane,87.3,24.99,963380,0.0,1551
2020-09,Vientiane,84.9,23.44,965307,0.0,1617
2020-10,Vientiane,30.7,23.37,967237,0.0,2211
2020-11,Vientiane,24.4,22.77,969172,0.0,2274
2020-12,Vientiane,5.7,22.9,971110,0.0,1531
2021-01,Vientiane,2.2,24.58,973052,0.0,956
2021-02,Vientiane,4.0,25.44,974999,0.0,985
2021-03,Vientiane,6.4,27.96,976949,0.0,2005
2021-04,Vientiane,26.9,29.53,978902,0.0,1465
2021-05,Vientiane,42.5,30.0,980860,0.0,1317
2021-06,Vientiane,79.5,28.3,982822,0.0,1517
2021-07,Vientiane,94.0,27.15,984788,0.0,1387
2021-08,Vientiane,31.3,25.83,986757,0.0,1791
2021-09,Vientiane,30.6,23.83,988731,0.0,1896
